Ownership Name,DBA Name,Street Address,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail City,Mail State,NAICS Code,NAICS Code Description,LIC Code,LIC Code Description
Ngo Howard & Vuong Dzung My,Duc Loi Supermarket,2200 Mission St,06/25/2008,NA,06/25/2008,NA,San Francisco,CA,4400-4599,Retail Trade,H07 H73 Pos01 Wm18 Wm30,Multiple
C And B Liquor Inc,K & H Liquor,501 Valencia St,10/28/2010,NA,10/28/2010,NA,Vallejo,CA,NA,NA,H03 H31 H73 Pos01,Multiple
Yangtze Market Inc,Yangtze Market,2026 Mission St,03/01/2015,NA,03/01/2015,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Wm18,Multiple
Shaibi Shaya M,Samys Liquor,2847 24th St,04/25/2012,NA,04/25/2012,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Ateyeh Fuad M,Freds Liquors & Delicatessen,200 Valencia St,07/01/1974,NA,07/01/1974,NA,South San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Ocana Manuel E,Lucky Pork Market,2659 Mission St,09/08/2005,NA,09/08/2005,NA,San Francisco,CA,4400-4599,Retail Trade,H07 Wm18,Multiple
Silverman Llc,King's Market,2398 Bryant St,03/31/2014,NA,03/31/2014,NA,San Francisco,CA,7220-7229,Food Services,H03 H31 H73,Multiple
Martinez Arturo,La Loma Produce #8,2840 Mission St,06/16/2015,NA,06/16/2015,NA,San Francisco,CA,4400-4599,Retail Trade,H09 Wm18,Multiple
Velasco Jerry F/velasco Teresa,Dona Teres Market,2780 21st St,07/16/2001,06/30/2021,07/16/2001,06/30/2021,NA,NA,NA,NA,H07,Retail Food Market W/food Prep. Lt 5001 Sqft
Rantisi Fayek & Rantisi Chris,Guerrero Hill Market,3398 22nd St,10/05/2011,NA,10/05/2011,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Le Vu V,Guerrero Shell,400 Guerrero St,01/01/1998,12/31/2019,01/01/2003,12/31/2019,NA,NA,NA,NA,D08 D13 H03 H31,Multiple
Ahmed Izzuddin/sharhan Waleed,Mi Rachito Produce & Meat,2169 Mission St,01/01/2008,NA,01/01/2008,NA,San Francisco,CA,4400-4599 7220-7229,Multiple,H07 Pos01 Wm18 Wm30,Multiple
